Date,High,Low,Month,Year,City,Date
1,25°,6°,January,2021,Karachi,01-Jan-21
2,25°,7°,January,2021,Karachi,02-Jan-21
3,25°,10°,January,2021,Karachi,03-Jan-21
4,24°,8°,January,2021,Karachi,04-Jan-21
5,24°,11°,January,2021,Karachi,05-Jan-21
6,26°,8°,January,2021,Karachi,06-Jan-21
7,25°,15°,January,2021,Karachi,07-Jan-21
8,22°,7°,January,2021,Karachi,08-Jan-21
9,24°,6°,January,2021,Karachi,09-Jan-21
10,26°,6°,January,2021,Karachi,10-Jan-21
11,27°,6°,January,2021,Karachi,11-Jan-21
12,29°,7°,January,2021,Karachi,12-Jan-21
13,29°,8°,January,2021,Karachi,13-Jan-21
14,27°,10°,January,2021,Karachi,14-Jan-21
15,28°,10°,January,2021,Karachi,15-Jan-21
16,28°,9°,January,2021,Karachi,16-Jan-21
17,27°,10°,January,2021,Karachi,17-Jan-21
18,27°,10°,January,2021,Karachi,18-Jan-21
19,27°,11°,January,2021,Karachi,19-Jan-21
20,27°,14°,January,2021,Karachi,20-Jan-21
21,28°,13°,January,2021,Karachi,21-Jan-21
22,28°,20°,January,2021,Karachi,22-Jan-21
23,28°,15°,January,2021,Karachi,23-Jan-21
24,26°,9°,January,2021,Karachi,24-Jan-21
25,28°,10°,January,2021,Karachi,25-Jan-21
26,27°,9°,January,2021,Karachi,26-Jan-21
27,26°,10°,January,2021,Karachi,27-Jan-21
28,28°,11°,January,2021,Karachi,28-Jan-21
29,28°,9°,January,2021,Karachi,29-Jan-21
30,27°,10°,January,2021,Karachi,30-Jan-21
1,29°,14°,February,2021,Karachi,01-Feb-21
2,28°,14°,February,2021,Karachi,02-Feb-21
3,29°,18°,February,2021,Karachi,03-Feb-21
4,28°,13°,February,2021,Karachi,04-Feb-21
5,29°,13°,February,2021,Karachi,05-Feb-21
6,30°,11°,February,2021,Karachi,06-Feb-21
7,30°,13°,February,2021,Karachi,07-Feb-21
8,32°,10°,February,2021,Karachi,08-Feb-21
9,29°,12°,February,2021,Karachi,09-Feb-21
10,33°,13°,February,2021,Karachi,10-Feb-21
11,33°,15°,February,2021,Karachi,11-Feb-21
12,33°,14°,February,2021,Karachi,12-Feb-21
13,32°,15°,February,2021,Karachi,13-Feb-21
14,32°,13°,February,2021,Karachi,14-Feb-21
15,29°,17°,February,2021,Karachi,15-Feb-21
16,31°,17°,February,2021,Karachi,16-Feb-21
17,32°,18°,February,2021,Karachi,17-Feb-21
18,33°,14°,February,2021,Karachi,18-Feb-21
19,33°,16°,February,2021,Karachi,19-Feb-21
20,35°,18°,February,2021,Karachi,20-Feb-21
21,34°,17°,February,2021,Karachi,21-Feb-21
22,34°,16°,February,2021,Karachi,22-Feb-21
23,30°,17°,February,2021,Karachi,23-Feb-21
24,30°,21°,February,2021,Karachi,24-Feb-21
25,33°,22°,February,2021,Karachi,25-Feb-21
26,34°,22°,February,2021,Karachi,26-Feb-21
27,33°,24°,February,2021,Karachi,27-Feb-21
28,34°,19°,February,2021,Karachi,28-Feb-21
1,33°,16°,March,2021,Karachi,01-Mar-21
2,34°,16°,March,2021,Karachi,02-Mar-21
3,35°,18°,March,2021,Karachi,03-Mar-21
4,34°,21°,March,2021,Karachi,04-Mar-21
5,38°,20°,March,2021,Karachi,05-Mar-21
6,32°,20°,March,2021,Karachi,06-Mar-21
7,32°,23°,March,2021,Karachi,07-Mar-21
8,33°,23°,March,2021,Karachi,08-Mar-21
9,35°,22°,March,2021,Karachi,09-Mar-21
10,32°,22°,March,2021,Karachi,10-Mar-21
11,31°,21°,March,2021,Karachi,11-Mar-21
12,34°,22°,March,2021,Karachi,12-Mar-21
13,35°,23°,March,2021,Karachi,13-Mar-21
14,34°,21°,March,2021,Karachi,14-Mar-21
15,36°,22°,March,2021,Karachi,15-Mar-21
16,34°,24°,March,2021,Karachi,16-Mar-21
17,35°,24°,March,2021,Karachi,17-Mar-21
18,33°,23°,March,2021,Karachi,18-Mar-21
19,36°,21°,March,2021,Karachi,19-Mar-21
20,35°,22°,March,2021,Karachi,20-Mar-21
21,33°,23°,March,2021,Karachi,21-Mar-21
22,32°,26°,March,2021,Karachi,22-Mar-21
23,33°,22°,March,2021,Karachi,23-Mar-21
24,35°,22°,March,2021,Karachi,24-Mar-21
25,38°,22°,March,2021,Karachi,25-Mar-21
26,39°,20°,March,2021,Karachi,26-Mar-21
27,40°,23°,March,2021,Karachi,27-Mar-21
28,35°,24°,March,2021,Karachi,28-Mar-21
29,32°,25°,March,2021,Karachi,29-Mar-21
30,40°,26°,March,2021,Karachi,30-Mar-21
31,42°,26°,March,2021,Karachi,31-Mar-21
1,41°,22°,April,2021,Karachi,01-Apr-21
2,41°,21°,April,2021,Karachi,02-Apr-21
3,44°,23°,April,2021,Karachi,03-Apr-21
4,37°,22°,April,2021,Karachi,04-Apr-21
5,34°,25°,April,2021,Karachi,05-Apr-21
6,35°,26°,April,2021,Karachi,06-Apr-21
7,39°,26°,April,2021,Karachi,07-Apr-21
8,38°,23°,April,2021,Karachi,08-Apr-21
9,36°,24°,April,2021,Karachi,09-Apr-21
10,40°,25°,April,2021,Karachi,10-Apr-21
11,42°,24°,April,2021,Karachi,11-Apr-21
12,36°,26°,April,2021,Karachi,12-Apr-21
13,35°,25°,April,2021,Karachi,13-Apr-21
14,33°,24°,April,2021,Karachi,14-Apr-21
15,33°,26°,April,2021,Karachi,15-Apr-21
16,36°,27°,April,2021,Karachi,16-Apr-21
17,36°,27°,April,2021,Karachi,17-Apr-21
18,37°,26°,April,2021,Karachi,18-Apr-21
19,35°,26°,April,2021,Karachi,19-Apr-21
20,37°,25°,April,2021,Karachi,20-Apr-21
21,35°,27°,April,2021,Karachi,21-Apr-21
22,36°,27°,April,2021,Karachi,22-Apr-21
23,39°,27°,April,2021,Karachi,23-Apr-21
24,40°,28°,April,2021,Karachi,24-Apr-21
25,39°,26°,April,2021,Karachi,25-Apr-21
26,38°,25°,April,2021,Karachi,26-Apr-21
27,36°,27°,April,2021,Karachi,27-Apr-21
28,35°,27°,April,2021,Karachi,28-Apr-21
29,35°,27°,April,2021,Karachi,29-Apr-21
30,38°,28°,April,2021,Karachi,30-Apr-21
1,38°,28°,May,2021,Karachi,01-May-21
2,36°,29°,May,2021,Karachi,02-May-21
3,36°,27°,May,2021,Karachi,03-May-21
4,36°,27°,May,2021,Karachi,04-May-21
5,38°,28°,May,2021,Karachi,05-May-21
6,37°,28°,May,2021,Karachi,06-May-21
7,36°,28°,May,2021,Karachi,07-May-21
8,39°,28°,May,2021,Karachi,08-May-21
9,39°,29°,May,2021,Karachi,09-May-21
10,35°,28°,May,2021,Karachi,10-May-21
11,36°,28°,May,2021,Karachi,11-May-21
12,35°,28°,May,2021,Karachi,12-May-21
13,37°,29°,May,2021,Karachi,13-May-21
14,37°,29°,May,2021,Karachi,14-May-21
15,35°,28°,May,2021,Karachi,15-May-21
16,42°,27°,May,2021,Karachi,16-May-21
17,44°,34°,May,2021,Karachi,17-May-21
18,42°,33°,May,2021,Karachi,18-May-21
19,39°,31°,May,2021,Karachi,19-May-21
20,36°,29°,May,2021,Karachi,20-May-21
21,37°,30°,May,2021,Karachi,21-May-21
22,37°,29°,May,2021,Karachi,22-May-21
23,37°,29°,May,2021,Karachi,23-May-21
24,37°,29°,May,2021,Karachi,24-May-21
25,37°,30°,May,2021,Karachi,25-May-21
26,38°,30°,May,2021,Karachi,26-May-21
27,37°,30°,May,2021,Karachi,27-May-21
28,37°,30°,May,2021,Karachi,28-May-21
29,36°,29°,May,2021,Karachi,29-May-21
30,36°,31°,May,2021,Karachi,30-May-21
31,38°,30°,May,2021,Karachi,31-May-21
1,37°,30°,June,2021,Karachi,01-Jun-21
2,36°,30°,June,2021,Karachi,02-Jun-21
3,36°,30°,June,2021,Karachi,03-Jun-21
4,37°,30°,June,2021,Karachi,04-Jun-21
5,37°,30°,June,2021,Karachi,05-Jun-21
6,37°,29°,June,2021,Karachi,06-Jun-21
7,37°,30°,June,2021,Karachi,07-Jun-21
8,36°,30°,June,2021,Karachi,08-Jun-21
9,33°,30°,June,2021,Karachi,09-Jun-21
10,36°,30°,June,2021,Karachi,10-Jun-21
11,37°,30°,June,2021,Karachi,11-Jun-21
12,35°,30°,June,2021,Karachi,12-Jun-21
13,35°,30°,June,2021,Karachi,13-Jun-21
14,35°,30°,June,2021,Karachi,14-Jun-21
15,36°,30°,June,2021,Karachi,15-Jun-21
16,37°,30°,June,2021,Karachi,16-Jun-21
17,37°,30°,June,2021,Karachi,17-Jun-21
18,37°,30°,June,2021,Karachi,18-Jun-21
19,37°,30°,June,2021,Karachi,19-Jun-21
20,35°,30°,June,2021,Karachi,20-Jun-21
21,36°,30°,June,2021,Karachi,21-Jun-21
22,36°,30°,June,2021,Karachi,22-Jun-21
23,36°,30°,June,2021,Karachi,23-Jun-21
24,34°,30°,June,2021,Karachi,24-Jun-21
25,34°,30°,June,2021,Karachi,25-Jun-21
26,35°,29°,June,2021,Karachi,26-Jun-21
27,36°,30°,June,2021,Karachi,27-Jun-21
28,38°,30°,June,2021,Karachi,28-Jun-21
29,36°,29°,June,2021,Karachi,29-Jun-21
30,35°,29°,June,2021,Karachi,30-Jun-21
1,35°,29°,July,2021,Karachi,01-Jul-21
2,35°,30°,July,2021,Karachi,02-Jul-21
3,35°,30°,July,2021,Karachi,03-Jul-21
4,36°,29°,July,2021,Karachi,04-Jul-21
5,35°,30°,July,2021,Karachi,05-Jul-21
6,36°,30°,July,2021,Karachi,06-Jul-21
7,35°,29°,July,2021,Karachi,07-Jul-21
8,34°,30°,July,2021,Karachi,08-Jul-21
9,33°,29°,July,2021,Karachi,09-Jul-21
10,36°,29°,July,2021,Karachi,10-Jul-21
11,37°,30°,July,2021,Karachi,11-Jul-21
12,32°,27°,July,2021,Karachi,12-Jul-21
13,38°,26°,July,2021,Karachi,13-Jul-21
14,40°,29°,July,2021,Karachi,14-Jul-21
15,40°,26°,July,2021,Karachi,15-Jul-21
16,39°,26°,July,2021,Karachi,16-Jul-21
17,38°,30°,July,2021,Karachi,17-Jul-21
18,35°,30°,July,2021,Karachi,18-Jul-21
19,31°,29°,July,2021,Karachi,19-Jul-21
20,31°,28°,July,2021,Karachi,20-Jul-21
21,33°,30°,July,2021,Karachi,21-Jul-21
22,35°,28°,July,2021,Karachi,22-Jul-21
23,35°,30°,July,2021,Karachi,23-Jul-21
24,34°,30°,July,2021,Karachi,24-Jul-21
25,34°,29°,July,2021,Karachi,25-Jul-21
26,33°,29°,July,2021,Karachi,26-Jul-21
27,31°,29°,July,2021,Karachi,27-Jul-21
28,31°,28°,July,2021,Karachi,28-Jul-21
29,31°,29°,July,2021,Karachi,29-Jul-21
30,30°,28°,July,2021,Karachi,30-Jul-21
31,31°,27°,July,2021,Karachi,31-Jul-21
1,31°,28°,August,2021,Karachi,01-Aug-21
2,30°,27°,August,2021,Karachi,02-Aug-21
3,30°,28°,August,2021,Karachi,03-Aug-21
4,31°,27°,August,2021,Karachi,04-Aug-21
5,31°,28°,August,2021,Karachi,05-Aug-21
6,32°,27°,August,2021,Karachi,06-Aug-21
7,34°,28°,August,2021,Karachi,07-Aug-21
8,34°,28°,August,2021,Karachi,08-Aug-21
9,33°,28°,August,2021,Karachi,09-Aug-21
10,32°,28°,August,2021,Karachi,10-Aug-21
11,31°,27°,August,2021,Karachi,11-Aug-21
12,32°,27°,August,2021,Karachi,12-Aug-21
13,32°,27°,August,2021,Karachi,13-Aug-21
14,31°,28°,August,2021,Karachi,14-Aug-21
15,32°,27°,August,2021,Karachi,15-Aug-21
16,33°,27°,August,2021,Karachi,16-Aug-21
17,34°,27°,August,2021,Karachi,17-Aug-21
18,34°,27°,August,2021,Karachi,18-Aug-21
19,30°,28°,August,2021,Karachi,19-Aug-21
20,33°,27°,August,2021,Karachi,20-Aug-21
21,35°,28°,August,2021,Karachi,21-Aug-21
22,35°,27°,August,2021,Karachi,22-Aug-21
23,33°,27°,August,2021,Karachi,23-Aug-21
24,33°,28°,August,2021,Karachi,24-Aug-21
25,33°,28°,August,2021,Karachi,25-Aug-21
26,32°,28°,August,2021,Karachi,26-Aug-21
27,33°,27°,August,2021,Karachi,27-Aug-21
28,34°,27°,August,2021,Karachi,28-Aug-21
29,33°,27°,August,2021,Karachi,29-Aug-21
30,34°,27°,August,2021,Karachi,30-Aug-21
31,36°,28°,August,2021,Karachi,31-Aug-21
1,41°,28°,September,2021,Karachi,01-Sep-21
2,40°,30°,September,2021,Karachi,02-Sep-21
3,34°,27°,September,2021,Karachi,03-Sep-21
4,33°,25°,September,2021,Karachi,04-Sep-21
5,33°,25°,September,2021,Karachi,05-Sep-21
6,34°,28°,September,2021,Karachi,06-Sep-21
7,35°,28°,September,2021,Karachi,07-Sep-21
8,36°,29°,September,2021,Karachi,08-Sep-21
9,33°,27°,September,2021,Karachi,09-Sep-21
10,35°,28°,September,2021,Karachi,10-Sep-21
11,36°,28°,September,2021,Karachi,11-Sep-21
12,37°,28°,September,2021,Karachi,12-Sep-21
13,36°,28°,September,2021,Karachi,13-Sep-21
14,40°,28°,September,2021,Karachi,14-Sep-21
15,39°,32°,September,2021,Karachi,15-Sep-21
16,39°,31°,September,2021,Karachi,16-Sep-21
17,38°,31°,September,2021,Karachi,17-Sep-21
18,36°,30°,September,2021,Karachi,18-Sep-21
19,36°,30°,September,2021,Karachi,19-Sep-21
20,35°,29°,September,2021,Karachi,20-Sep-21
21,33°,28°,September,2021,Karachi,21-Sep-21
22,35°,29°,September,2021,Karachi,22-Sep-21
23,36°,26°,September,2021,Karachi,23-Sep-21
24,38°,28°,September,2021,Karachi,24-Sep-21
25,37°,30°,September,2021,Karachi,25-Sep-21
26,37°,29°,September,2021,Karachi,26-Sep-21
27,37°,30°,September,2021,Karachi,27-Sep-21
28,37°,28°,September,2021,Karachi,28-Sep-21
29,39°,28°,September,2021,Karachi,29-Sep-21
30,34°,28°,September,2021,Karachi,30-Sep-21
1,31°,26°,October,2021,Karachi,01-Oct-21
2,32°,27°,October,2021,Karachi,02-Oct-21
3,34°,27°,October,2021,Karachi,03-Oct-21
4,33°,28°,October,2021,Karachi,04-Oct-21
5,33°,28°,October,2021,Karachi,05-Oct-21
6,35°,27°,October,2021,Karachi,06-Oct-21
7,37°,27°,October,2021,Karachi,07-Oct-21
8,36°,28°,October,2021,Karachi,08-Oct-21
9,34°,27°,October,2021,Karachi,09-Oct-21
10,33°,26°,October,2021,Karachi,10-Oct-21
11,37°,27°,October,2021,Karachi,11-Oct-21
12,37°,25°,October,2021,Karachi,12-Oct-21
13,38°,25°,October,2021,Karachi,13-Oct-21
14,38°,25°,October,2021,Karachi,14-Oct-21
15,38°,22°,October,2021,Karachi,15-Oct-21
16,37°,19°,October,2021,Karachi,16-Oct-21
17,37°,18°,October,2021,Karachi,17-Oct-21
18,36°,22°,October,2021,Karachi,18-Oct-21
19,35°,19°,October,2021,Karachi,19-Oct-21
20,33°,25°,October,2021,Karachi,20-Oct-21
21,32°,23°,October,2021,Karachi,21-Oct-21
22,32°,27°,October,2021,Karachi,22-Oct-21
23,35°,27°,October,2021,Karachi,23-Oct-21
24,35°,20°,October,2021,Karachi,24-Oct-21
25,33°,24°,October,2021,Karachi,25-Oct-21
26,34°,22°,October,2021,Karachi,26-Oct-21
27,35°,22°,October,2021,Karachi,27-Oct-21
28,35°,21°,October,2021,Karachi,28-Oct-21
29,37°,20°,October,2021,Karachi,29-Oct-21
30,37°,20°,October,2021,Karachi,30-Oct-21
31,35°,19°,October,2021,Karachi,31-Oct-21
1,37°,19°,November,2021,Karachi,01-Nov-21
2,35°,23°,November,2021,Karachi,02-Nov-21
3,35°,22°,November,2021,Karachi,03-Nov-21
4,35°,21°,November,2021,Karachi,04-Nov-21
5,36°,22°,November,2021,Karachi,05-Nov-21
6,36°,19°,November,2021,Karachi,06-Nov-21
7,36°,18°,November,2021,Karachi,07-Nov-21
8,36°,18°,November,2021,Karachi,08-Nov-21
9,37°,21°,November,2021,Karachi,09-Nov-21
10,36°,19°,November,2021,Karachi,10-Nov-21
11,35°,17°,November,2021,Karachi,11-Nov-21
12,35°,19°,November,2021,Karachi,12-Nov-21
13,35°,20°,November,2021,Karachi,13-Nov-21
14,35°,17°,November,2021,Karachi,14-Nov-21
15,34°,21°,November,2021,Karachi,15-Nov-21
16,34°,16°,November,2021,Karachi,16-Nov-21
17,32°,18°,November,2021,Karachi,17-Nov-21
18,31°,15°,November,2021,Karachi,18-Nov-21
19,32°,14°,November,2021,Karachi,19-Nov-21
20,31°,18°,November,2021,Karachi,20-Nov-21
21,32°,17°,November,2021,Karachi,21-Nov-21
22,33°,17°,November,2021,Karachi,22-Nov-21
23,33°,14°,November,2021,Karachi,23-Nov-21
24,33°,17°,November,2021,Karachi,24-Nov-21
25,34°,18°,November,2021,Karachi,25-Nov-21
26,34°,19°,November,2021,Karachi,26-Nov-21
27,33°,20°,November,2021,Karachi,27-Nov-21
28,32°,18°,November,2021,Karachi,28-Nov-21
29,33°,20°,November,2021,Karachi,29-Nov-21
30,32°,20°,November,2021,Karachi,30-Nov-21
1,32°,17°,December,2021,Karachi,01-Dec-21
2,30°,21°,December,2021,Karachi,02-Dec-21
3,30°,18°,December,2021,Karachi,03-Dec-21
4,30°,15°,December,2021,Karachi,04-Dec-21
5,30°,16°,December,2021,Karachi,05-Dec-21
6,30°,19°,December,2021,Karachi,06-Dec-21
7,28°,16°,December,2021,Karachi,07-Dec-21
8,29°,14°,December,2021,Karachi,08-Dec-21
9,29°,13°,December,2021,Karachi,09-Dec-21
10,28°,17°,December,2021,Karachi,10-Dec-21
11,30°,11°,December,2021,Karachi,11-Dec-21
12,30°,15°,December,2021,Karachi,12-Dec-21
13,27°,11°,December,2021,Karachi,13-Dec-21
14,27°,10°,December,2021,Karachi,14-Dec-21
15,26°,9°,December,2021,Karachi,15-Dec-21
16,24°,8°,December,2021,Karachi,16-Dec-21
17,25°,9°,December,2021,Karachi,17-Dec-21
18,25°,10°,December,2021,Karachi,18-Dec-21
19,26°,12°,December,2021,Karachi,19-Dec-21
20,27°,13°,December,2021,Karachi,20-Dec-21
21,27°,14°,December,2021,Karachi,21-Dec-21
22,27°,15°,December,2021,Karachi,22-Dec-21
23,28°,15°,December,2021,Karachi,23-Dec-21
24,27°,14°,December,2021,Karachi,24-Dec-21
25,27°,14°,December,2021,Karachi,25-Dec-21
26,28°,13°,December,2021,Karachi,26-Dec-21
27,28°,14°,December,2021,Karachi,27-Dec-21
28,27°,14°,December,2021,Karachi,28-Dec-21
29,27°,13°,December,2021,Karachi,29-Dec-21
30,24°,12°,December,2021,Karachi,30-Dec-21
31,24°,12°,December,2021,Karachi,31-Dec-21
